id,code,label
C21097711,C10055,Litigation
C21097712,C10055,Litigation
C21097713,C10055,Litigation
C21097713,C10056,Manors
C21097714,C10055,Litigation
C21097715,C10059,Marriage and divorce
C21097715,C10055,Litigation
C21097716,C10055,Litigation
C21097716,C10116,Wills and probate
C21097717,C10055,Litigation
C21097718,C10055,Litigation
C21097718,C10036,Farming
C21097719,C10055,Litigation
C21097720,C10055,Litigation
C21097720,C10056,Manors
C21097721,C10055,Litigation
C21097721,C10022,Conveyancing
C21097722,C10055,Litigation
C21097722,C10056,Manors
C21097723,C10055,Litigation
C21097724,C10055,Litigation
C21097725,C10055,Litigation
C21097725,C10056,Manors
C21097726,C10055,Litigation
C21097726,C10056,Manors
C21097727,C10055,Litigation
C21097727,C10108,Trade and commerce
C21097727,C10007,Banking
C21097727,C10022,Conveyancing
C21097728,C10055,Litigation
C21097728,C10056,Manors
C21097729,C10055,Litigation
C21097730,C10055,Litigation
C21097731,C10055,Litigation
C21097731,C10108,Trade and commerce
C21097732,C10055,Litigation
C21097733,C10055,Litigation
C21097734,C10055,Litigation
C21097734,C10025,Debt
C21097735,C10055,Litigation
C21097735,C10056,Manors
C21097736,C10055,Litigation
C21097736,C10056,Manors
C21097737,C10059,Marriage and divorce
C21097737,C10055,Litigation
C21097738,C10055,Litigation
C21097738,C10056,Manors
C21097739,C10055,Litigation
C21097740,C10055,Litigation
C21097740,C10056,Manors
C21097741,C10055,Litigation
C21097741,C10025,Debt
C21097742,C10055,Litigation
C21097742,C10108,Trade and commerce
C21097742,C10056,Manors
C21097742,C10077,Pay and pensions
C21097743,C10055,Litigation
C21097744,C10055,Litigation
C21097745,C10055,Litigation
C21097746,C10055,Litigation
C21097746,C10056,Manors
C21097746,C10007,Banking
C21097746,C10022,Conveyancing
C21097747,C10055,Litigation
C21097748,C10055,Litigation
C21097749,C10055,Litigation
C21097750,C10055,Litigation
C21097750,C10056,Manors
C21097751,C10059,Marriage and divorce
C21097751,C10055,Litigation
C21097751,C10056,Manors
C21097752,C10055,Litigation
C21097753,C10055,Litigation
C21097753,C10056,Manors
C21097754,C10055,Litigation
C21097755,C10055,Litigation
C21097756,C10055,Litigation
C21097756,C10056,Manors
C21097757,C10055,Litigation
C21097757,C10036,Farming
C21097758,C10055,Litigation
C21097758,C10025,Debt
C21097759,C10059,Marriage and divorce
C21097759,C10055,Litigation
C21097760,C10055,Litigation
C21097761,C10055,Litigation
C21097762,C10055,Litigation
C21097763,C10055,Litigation
C21097764,C10055,Litigation
C21097765,C10055,Litigation
C21097766,C10055,Litigation
C21097767,C10055,Litigation
C21097768,C10055,Litigation
C21097769,C10059,Marriage and divorce
C21097769,C10055,Litigation
C21097769,C10025,Debt
C21097770,C10055,Litigation
C21097770,C10056,Manors
C21097771,C10055,Litigation
C21097772,C10055,Litigation
C21097773,C10055,Litigation
C21097774,C10055,Litigation
C21097775,C10055,Litigation
C21097775,C10108,Trade and commerce
C21097775,C10025,Debt
C21097776,C10055,Litigation
C21097777,C10055,Litigation
C21097778,C10055,Litigation
C21097779,C10055,Litigation
C21097779,C10084,Poverty
C21097779,C10116,Wills and probate
C21097780,C10055,Litigation
C21097780,C10116,Wills and probate
C21097781,C10055,Litigation
C21097781,C10116,Wills and probate
C21097782,C10055,Litigation
C21097783,C10055,Litigation
C21097783,C10108,Trade and commerce
C21097783,C10025,Debt
C21097784,C10055,Litigation
C21097785,C10055,Litigation
C21097786,C10055,Litigation
C21097786,C10107,Tithes
C21097786,C10025,Debt
C21097787,C10055,Litigation
C21097787,C10056,Manors
C21097788,C10055,Litigation
C21097788,C10025,Debt
C21097789,C10055,Litigation
C21097789,C10108,Trade and commerce
C21097789,C10116,Wills and probate
C21097790,C10059,Marriage and divorce
C21097790,C10055,Litigation
C21097791,C10055,Litigation
C21097791,C10056,Manors
C21097792,C10055,Litigation
C21097792,C10056,Manors
C21097792,C10036,Farming
C21097793,C10055,Litigation
C21097793,C10056,Manors
C21097794,C10055,Litigation
C21097794,C10012,Children
C21097794,C10022,Conveyancing
C21097795,C10055,Litigation
C21097795,C10108,Trade and commerce
C21097796,C10055,Litigation
C21097796,C10116,Wills and probate
C21097797,C10055,Litigation
C21097797,C10108,Trade and commerce
C21097797,C10132,Ireland
C21097798,C10055,Litigation
