age,gender,year,deaths
5,male,1967,215
6,female,1967,106
6,male,1967,172
7,female,1967,104
7,male,1967,160
8,female,1967,106
8,male,1967,164
9,female,1967,95
9,male,1967,140
10,female,1967,95
10,male,1967,156
11,female,1967,92
11,male,1967,111
12,female,1967,82
12,male,1967,128
13,female,1967,88
13,male,1967,145
14,female,1967,81
14,male,1967,168
15,female,1967,112
15,male,1967,200
16,female,1967,122
16,male,1967,307
17,female,1967,150
17,male,1967,375
18,female,1967,166
18,male,1967,423
19,female,1967,160
19,male,1967,444
20,female,1967,156
20,male,1967,450
21,female,1967,146
21,male,1967,357
22,female,1967,131
22,male,1967,316
23,female,1967,159
23,male,1967,306
24,female,1967,163
24,male,1967,289
25,female,1967,141
25,male,1967,320
26,female,1967,137
26,male,1967,295
27,female,1967,156
27,male,1967,272
28,female,1967,172
28,male,1967,281
29,female,1967,178
29,male,1967,240
30,female,1967,187
30,male,1967,315
31,female,1967,218
31,male,1967,313
32,female,1967,199
32,male,1967,303
33,female,1967,215
33,male,1967,313
34,female,1967,240
34,male,1967,351
35,female,1967,294
35,male,1967,395
36,female,1967,330
36,male,1967,467
37,female,1967,339
37,male,1967,476
38,female,1967,385
38,male,1967,567
39,female,1967,461
39,male,1967,633
40,female,1967,508
40,male,1967,695
41,female,1967,546
41,male,1967,787
42,female,1967,626
42,male,1967,931
43,female,1967,727
43,male,1967,1024
44,female,1967,816
44,male,1967,1143
45,female,1967,927
45,male,1967,1365
46,female,1967,1122
46,male,1967,1681
47,female,1967,1230
47,male,1967,1845
48,female,1967,930
48,male,1967,1472
49,female,1967,1036
49,male,1967,1543
50,female,1967,1243
50,male,1967,1924
51,female,1967,1382
51,male,1967,2179
52,female,1967,1644
52,male,1967,2679
53,female,1967,1819
53,male,1967,2992
54,female,1967,1995
54,male,1967,3301
55,female,1967,1991
55,male,1967,3588
56,female,1967,2304
56,male,1967,4180
57,female,1967,2381
57,male,1967,4487
58,female,1967,2748
58,male,1967,5032
59,female,1967,2952
59,male,1967,5615
60,female,1967,3108
60,male,1967,5748
61,female,1967,3276
61,male,1967,6164
62,female,1967,3623
62,male,1967,6690
63,female,1967,4040
63,male,1967,7280
64,female,1967,4234
64,male,1967,7848
65,female,1967,4434
65,male,1967,7942
66,female,1967,5007
66,male,1967,8218
67,female,1967,5313
67,male,1967,8533
68,female,1967,5495
68,male,1967,7883
69,female,1967,5828
69,male,1967,8106
70,female,1967,6197
70,male,1967,8068
71,female,1967,6493
71,male,1967,7759
72,female,1967,7280
72,male,1967,8215
73,female,1967,7598
