burial_id,feetotal,fee_l,fee_s,fee_d,fee_as_d
10831,2.12.6,2,12,6,630
10832,0.5.0,0,5,0,60
10833,2.3.0,2,3,0,516
10834,0.1.6,0,1,6,18
10835,0.3.0,0,3,0,36
10836,0.1.6,0,1,6,18
10837,0.3.0,0,3,0,36
10838,0.1.6,0,1,6,18
10839,0.1.6,0,1,6,18
10840,0.9.0,0,9,0,108
10841,0.1.6,0,1,6,18
10842,0.14.0,0,14,0,168
10843,0.5.0,0,5,0,60
10844,0.1.6,0,1,6,18
10845,0.5.0,0,5,0,60
10846,0.9.0,0,9,0,108
10847,0.1.6,0,1,6,18
10848,0.1.6,0,1,6,18
10849,0.5.0,0,5,0,60
10850,0.5.0,0,5,0,60
10851,1.16.0,1,16,0,432
10852,0.5.0,0,5,0,60
10853,0.9.0,0,9,0,108
10854,1.1.0,1,1,0,252
10855,0.1.6,0,1,6,18
10856,0.9.0,0,9,0,108
10857,2.3.0,2,3,0,516
10858,0.5.0,0,5,0,60
10859,0.5.0,0,5,0,60
10860,0.9.0,0,9,0,108
10861,0.9.0,0,9,0,108
10862,0.9.0,0,9,0,108
10863,2.12.6,2,12,6,630
10864,2.12.6,2,12,6,630
10865,0.1.6,0,1,6,18
10866,0.5.0,0,5,0,60
10867,0.5.0,0,5,0,60
10868,0.5.0,0,5,0,60
10869,0.9.0,0,9,0,108
10870,1.11.0,1,11,0,372
10871,0.9.0,0,9,0,108
10872,0.9.0,0,9,0,108
10873,0.1.6,0,1,6,18
10874,0.9.0,0,9,0,108
10876,2.3.0,2,3,0,516
10877,0.3.0,0,3,0,36
10878,0.3.0,0,3,0,36
10879,0.1.6,0,1,6,18
10880,0.1.6,0,1,6,18
10881,0.9.0,0,9,0,108
10882,0.1.6,0,1,6,18
10883,1.1.0,1,1,0,252
10884,0.9.0,0,9,0,108
10885,0.5.0,0,5,0,60
10886,0.1.6,0,1,6,18
10887,0.3.0,0,3,0,36
10888,0.3.0,0,3,0,36
10889,2.12.6,2,12,6,630
10890,0.1.6,0,1,6,18
10891,1.16.0,1,16,0,432
10892,0.9.0,0,9,0,108
10893,0.9.0,0,9,0,108
10894,0.5.0,0,5,0,60
10895,0.5.0,0,5,0,60
10896,9.0.0,9,0,0,2160
10897,0.5.0,0,5,0,60
10898,0.1.6,0,1,6,18
10899,0.9.0,0,9,0,108
10900,0.9.0,0,9,0,108
10901,0.1.6,0,1,6,18
10902,0.5.0,0,5,0,60
